Dataset,Instancia,Algoritmo,Runs,Gap media + DP,Tempo media + DP
a,instance_0001,simple_asc_exact,5,0.8429 +- 0.0000,0.0191 +- 0.0042
a,instance_0001,simple_asc_multi,10,0.8429 +- 0.0000,0.0033 +- 0.0027
a,instance_0001,simple_asc_simple,10,0.8625 +- 0.0000,0.0109 +- 0.0076
a,instance_0001,simple_desc_exact,5,0.7167 +- 0.0000,0.0191 +- 0.0038
a,instance_0001,simple_desc_multi,10,0.7167 +- 0.0000,0.0014 +- 0.0012
a,instance_0001,simple_desc_simple,10,0.7333 +- 0.0000,0.0040 +- 0.0032
a,instance_0001,simple_diff_exact_bigger,5,0.7939 +- 0.0000,0.0250 +- 0.0108
a,instance_0001,simple_diff_exact_most_shared,5,0.7939 +- 0.0000,0.0203 +- 0.0020
a,instance_0001,simple_diff_exact_random,5,0.8008 +- 0.0094,0.0189 +- 0.0031
a,instance_0001,simple_diff_exact_smaller,5,0.7939 +- 0.0000,0.0289 +- 0.0097
a,instance_0001,simple_diff_multi_bigger,10,0.8029 +- 0.0000,0.0031 +- 0.0027
a,instance_0001,simple_diff_multi_most_shared,10,0.8029 +- 0.0000,0.0032 +- 0.0025
a,instance_0001,simple_diff_multi_random,10,0.8077 +- 0.0067,0.0034 +- 0.0030
a,instance_0001,simple_diff_multi_smaller,10,0.8029 +- 0.0000,0.0025 +- 0.0028
a,instance_0001,simple_diff_simple_bigger,10,0.8111 +- 0.0000,0.0060 +- 0.0054
a,instance_0001,simple_diff_simple_most_shared,10,0.8111 +- 0.0000,0.0076 +- 0.0066
a,instance_0001,simple_diff_simple_random,10,0.8170 +- 0.0058,0.0089 +- 0.0064
a,instance_0001,simple_diff_simple_smaller,10,0.8111 +- 0.0000,0.0105 +- 0.0094
a,instance_0001,simple_diff_weighted_exact_bigger,5,0.7939 +- 0.0000,0.0250 +- 0.0061
a,instance_0001,simple_diff_weighted_exact_most_shared,5,0.7939 +- 0.0000,0.0323 +- 0.0087
a,instance_0001,simple_diff_weighted_exact_random,5,0.8008 +- 0.0094,0.0312 +- 0.0075
a,instance_0001,simple_diff_weighted_exact_smaller,5,0.7939 +- 0.0000,0.0265 +- 0.0095
a,instance_0001,simple_diff_weighted_multi_bigger,10,0.8029 +- 0.0000,0.0027 +- 0.0020
a,instance_0001,simple_diff_weighted_multi_most_shared,10,0.8029 +- 0.0000,0.0037 +- 0.0038
a,instance_0001,simple_diff_weighted_multi_random,10,0.8077 +- 0.0067,0.0032 +- 0.0027
a,instance_0001,simple_diff_weighted_multi_smaller,10,0.8029 +- 0.0000,0.0031 +- 0.0025
a,instance_0001,simple_diff_weighted_simple_bigger,10,0.8111 +- 0.0000,0.0065 +- 0.0064
a,instance_0001,simple_diff_weighted_simple_most_shared,10,0.8111 +- 0.0000,0.0086 +- 0.0065
a,instance_0001,simple_diff_weighted_simple_random,10,0.8170 +- 0.0058,0.0109 +- 0.0092
a,instance_0001,simple_diff_weighted_simple_smaller,10,0.8111 +- 0.0000,0.0065 +- 0.0042
a,instance_0001,simple_random_exact,5,0.7739 +- 0.0244,0.0218 +- 0.0046
a,instance_0001,simple_random_multi,10,0.7882 +- 0.0237,0.0026 +- 0.0018
a,instance_0001,simple_random_simple,10,0.7928 +- 0.0292,0.0060 +- 0.0021
a,instance_0001,simple_similar_exact_bigger,5,0.7333 +- 0.0000,0.0268 +- 0.0022
a,instance_0001,simple_similar_exact_most_shared,5,0.7841 +- 0.0000,0.0257 +- 0.0072
a,instance_0001,simple_similar_exact_random,5,0.7978 +- 0.0112,0.0286 +- 0.0077
a,instance_0001,simple_similar_exact_smaller,5,0.7841 +- 0.0000,0.0305 +- 0.0061
a,instance_0001,simple_similar_multi_bigger,10,0.7481 +- 0.0000,0.0021 +- 0.0017
a,instance_0001,simple_similar_multi_most_shared,10,0.7939 +- 0.0000,0.0029 +- 0.0026
a,instance_0001,simple_similar_multi_random,10,0.8048 +- 0.0095,0.0019 +- 0.0016
a,instance_0001,simple_similar_multi_smaller,10,0.7939 +- 0.0000,0.0024 +- 0.0021
a,instance_0001,simple_similar_simple_bigger,10,0.7733 +- 0.0000,0.0059 +- 0.0040
a,instance_0001,simple_similar_simple_most_shared,10,0.8029 +- 0.0000,0.0076 +- 0.0062
a,instance_0001,simple_similar_simple_random,10,0.8157 +- 0.0113,0.0073 +- 0.0058
a,instance_0001,simple_similar_simple_smaller,10,0.8029 +- 0.0000,0.0054 +- 0.0043
a,instance_0001,simple_similar_weighted_exact_bigger,5,0.7333 +- 0.0000,0.0281 +- 0.0096
a,instance_0001,simple_similar_weighted_exact_most_shared,5,0.7841 +- 0.0000,0.0279 +- 0.0089
a,instance_0001,simple_similar_weighted_exact_random,5,0.7978 +- 0.0112,0.0266 +- 0.0079
a,instance_0001,simple_similar_weighted_exact_smaller,5,0.7841 +- 0.0000,0.0283 +- 0.0085
a,instance_0001,simple_similar_weighted_multi_bigger,10,0.7481 +- 0.0000,0.0019 +- 0.0013
a,instance_0001,simple_similar_weighted_multi_most_shared,10,0.7939 +- 0.0000,0.0029 +- 0.0025
a,instance_0001,simple_similar_weighted_multi_random,10,0.8048 +- 0.0095,0.0031 +- 0.0025
a,instance_0001,simple_similar_weighted_multi_smaller,10,0.7939 +- 0.0000,0.0026 +- 0.0022
a,instance_0001,simple_similar_weighted_simple_bigger,10,0.7733 +- 0.0000,0.0057 +- 0.0050
a,instance_0001,simple_similar_weighted_simple_most_shared,10,0.8029 +- 0.0000,0.0088 +- 0.0078
a,instance_0001,simple_similar_weighted_simple_random,10,0.8157 +- 0.0113,0.0078 +- 0.0062
a,instance_0001,simple_similar_weighted_simple_smaller,10,0.8029 +- 0.0000,0.0059 +- 0.0051
a,instance_0002,simple_asc_exact,5,0.5000 +- 0.0000,0.0212 +- 0.0047
a,instance_0002,simple_asc_multi,10,0.5000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_asc_simple,10,0.5000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_desc_exact,5,0.0000 +- 0.0000,0.0215 +- 0.0105
a,instance_0002,simple_desc_multi,10,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_desc_simple,10,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_exact_bigger,5,0.0000 +- 0.0000,0.0156 +- 0.0062
a,instance_0002,simple_diff_exact_most_shared,5,0.0000 +- 0.0000,0.0148 +- 0.0023
a,instance_0002,simple_diff_exact_random,5,0.1000 +- 0.2236,0.0151 +- 0.0042
a,instance_0002,simple_diff_exact_smaller,5,0.0000 +- 0.0000,0.0178 +- 0.0017
a,instance_0002,simple_diff_multi_bigger,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_multi_most_shared,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_multi_random,10,0.1000 +- 0.2108,0.0001 +- 0.0001
a,instance_0002,simple_diff_multi_smaller,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_simple_bigger,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_simple_most_shared,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_simple_random,10,0.1000 +- 0.2108,0.0005 +- 0.0013
a,instance_0002,simple_diff_simple_smaller,10,0.0000 +- 0.0000,0.0004 +- 0.0010
a,instance_0002,simple_diff_weighted_exact_bigger,5,0.0000 +- 0.0000,0.0163 +- 0.0030
a,instance_0002,simple_diff_weighted_exact_most_shared,5,0.0000 +- 0.0000,0.0146 +- 0.0010
a,instance_0002,simple_diff_weighted_exact_random,5,0.1000 +- 0.2236,0.0155 +- 0.0019
a,instance_0002,simple_diff_weighted_exact_smaller,5,0.0000 +- 0.0000,0.0161 +- 0.0025
a,instance_0002,simple_diff_weighted_multi_bigger,10,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_most_shared,10,0.0000 +- 0.0000,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_random,10,0.1000 +- 0.2108,0.0001 +- 0.0000
a,instance_0002,simple_diff_weighted_multi_smaller,10,0.0000 +- 0.0000,0.0004 +- 0.0006
a,instance_0002,simple_diff_weighted_simple_bigger,10,0.0000 +- 0.0000,0.0001 +- 0.0001
a,instance_0002,simple_diff_weighted_simple_most_shared,10,0.0000 +- 0.0000,0.0002 +- 0.0001
